[2025-05-03 20:09:45,176] INFO: ready.
[2025-05-03 21:14:55,186] INFO: bot ready.
[2025-05-03 21:16:10,535] INFO: bot ready.
[2025-05-03 21:16:36,999] INFO: msg from thetommylong (TheTommylong): a
[2025-05-03 21:16:38,818] INFO: msg from thetommylong (TheTommylong): A
[2025-05-03 21:19:01,069] INFO: bot ready.
[2025-05-03 21:27:34,343] INFO: msg from thetommylong (TheTommylong): fhjk
[2025-05-03 22:50:07,265] INFO: bot ready.
[2025-05-03 22:56:06,252] INFO: bot ready.
[2025-05-03 22:56:10,431] INFO: msg from thetommylong (TheTommylong): !ping
[2025-05-03 22:56:43,427] INFO: bot ready.
[2025-05-03 22:56:45,840] INFO: msg from thetommylong (TheTommylong): yes
[2025-05-03 22:56:49,732] INFO: msg from thetommylong (TheTommylong): fuck
[2025-05-03 22:56:54,732] INFO: msg from thetommylong (TheTommylong): fuck fuck fuck fuck fuck fuck fuck fuck fuck fuck fuck fuck fuck fuck fuck fuck fuck fuck fuck fuck fuck fuck fuck fuck
[2025-05-03 22:57:00,010] INFO: msg from thetommylong (TheTommylong): ok bru
[2025-05-03 23:11:03,188] INFO: bot ready.
[2025-05-03 23:22:18,240] INFO: bot ready.
[2025-05-03 23:22:24,272] INFO: msg from thetommylong (TheTommylong): !ping
[2025-05-03 23:25:24,265] INFO: bot ready.
[2025-05-03 23:25:30,240] INFO: msg from thetommylong (TheTommylong): !ping
[2025-05-03 23:28:27,132] INFO: bot ready.
[2025-05-03 23:28:34,565] INFO: msg from thetommylong (TheTommylong): test
[2025-05-03 23:29:10,280] INFO: msg from thetommylong (TheTommylong): a (ᴗ_ᴗ)
[2025-05-03 23:35:13,205] INFO: bot ready.
[2025-05-03 23:35:30,693] INFO: msg from thetommylong (TheTommylong): i swear if the cmds dont register im gonna go crazy
[2025-05-03 23:37:51,228] INFO: msg from notthetommylong (NotTheTommylong): asdf
[2025-05-03 23:37:53,530] INFO: msg from notthetommylong (NotTheTommylong): !ping
[2025-05-04 09:26:33,883] INFO: bot ready.
[2025-05-04 09:28:53,393] INFO: bot ready.
[2025-05-04 09:28:53,394] INFO: (att 0) trying to sync commands
[2025-05-04 09:28:54,106] INFO: (att 1) trying to sync commands
[2025-05-04 09:28:54,746] INFO: (att 2) trying to sync commands
[2025-05-04 09:28:55,438] INFO: (att 3) trying to sync commands
[2025-05-04 09:28:56,088] INFO: (att 4) trying to sync commands
[2025-05-04 09:28:56,702] INFO: (att 5) trying to sync commands
[2025-05-04 09:28:57,330] INFO: (att 6) trying to sync commands
[2025-05-04 09:28:57,946] INFO: (att 7) trying to sync commands
[2025-05-04 09:28:58,592] INFO: (att 8) trying to sync commands
[2025-05-04 09:28:59,352] INFO: (att 9) trying to sync commands
[2025-05-04 09:36:50,688] INFO: bot ready.
[2025-05-04 11:23:58,138] INFO: bot ready.
[2025-05-04 11:24:07,227] INFO: msg from notthetommylong: 
[2025-05-04 11:24:16,373] INFO: msg from notthetommylong: what
[2025-05-04 11:28:40,308] INFO: msg from negativezdev: 
[2025-05-04 11:29:13,926] INFO: msg from negativezdev: hawk tuah
[2025-05-04 11:29:29,994] INFO: msg from negativezdev: nigeria
[2025-05-04 11:29:33,812] INFO: msg from negativezdev: coconut
[2025-05-04 11:30:17,695] INFO: msg from negativezdev: <@835036202960683008> my braincells told me you got skill issues for some reason. It's my braincells not me
[2025-05-04 11:32:16,339] INFO: msg from negativezdev: btw can you give me the source(Remove the fuckin token. You cant trust anyone maybe even your parents)
[2025-05-04 11:32:29,846] INFO: msg from negativezdev: nvm
[2025-05-04 11:32:32,649] INFO: msg from negativezdev: it's working
[2025-05-04 11:32:41,458] INFO: msg from negativezdev: fuck fuckity
[2025-05-04 11:32:53,098] INFO: msg from negativezdev: gay
[2025-05-04 11:32:59,400] INFO: msg from negativezdev: slut
[2025-05-04 11:33:02,171] INFO: msg from negativezdev: s;ur
[2025-05-04 11:33:04,553] INFO: msg from negativezdev: slur
[2025-05-04 11:33:10,620] INFO: msg from negativezdev: niggerian
[2025-05-04 11:33:19,886] INFO: msg from negativezdev: hard r
[2025-05-04 11:33:23,249] INFO: msg from thetommylong: can i just give u a github repo (im not that dumb to not gitignore the .env)
[2025-05-04 11:33:25,033] INFO: msg from negativezdev: neighbour
[2025-05-04 11:33:31,658] INFO: msg from negativezdev: iik
